rank	cluster_id	n_assigned	usage_pct	cum_pct	monosemanticity	dist_min	dist_p50	domain	top_tokens
1	70	3775	0.768	0.768	0.05	250.9253	448.0454	wiki:46%	 of  and  as  or  the  by
2	1662	3384	0.688	1.456	0.281	277.2974	565.0859	web:46%	 of  to  for  on  about  from
3	302	3369	0.685	2.142	0.152	261.9951	463.874	wiki:72%	 of  to  and  with  or  for
4	1792	3072	0.625	2.766	0.004	231.1455	401.3545	wiki:89%	 astronomy  history  regions  city  mathematics  use
5	1071	2837	0.577	3.344	0.019	262.0054	447.1031	wiki:75%	 largest  urban  human  armed  metropolitan flight
6	443	2743	0.558	3.901	0.341	268.9893	434.4736	wiki:86%	 of  to  by  from  and  including
7	1752	2350	0.478	4.38	0.009	242.5581	386.969	wiki:54%	 Ber aff  Her  Tor  Yok  Bel
8	236	2344	0.477	4.856	0.237	297.2807	542.5893	wiki:64%	 of  with  by  from  to  on
9	1432	2275	0.463	5.319	0.482	268.7495	514.1733	web:42%	 the  The The the  its
10	1775	2272	0.462	5.781	0.024	318.5659	580.1143	web:46%	 social  science ive able  digital  computer
11	1033	2236	0.455	6.236	0.016	306.6016	605.3482	web:47%	 complex  original  successful  greater ed  potential
12	806	2188	0.445	6.681	0.419	274.2354	437.2856	wiki:79%	 the  The  its 's  His  Its
13	445	1976	0.402	7.083	0.015	277.4136	461.7412	wiki:62%	 sor ax  Arist  Vis  Amb  Arr
14	982	1883	0.383	7.466	0.026	267.4712	423.0996	wiki:44%	 Health  National  World  Air  Royal eward
15	79	1687	0.343	7.809	0.134	314.9019	554.5743	code:47%	 for  of  use  by  with  from
16	160	1684	0.343	8.152	0.211	306.5596	540.3003	math:81%	 of  to  on  about  with  for
17	867	1651	0.336	8.488	0.011	230.3828	442.4179	wiki:58%	s  countries  world  languages  purposes  regions
18	1060	1643	0.334	8.822	0.323	297.6787	555.7368	web:54%	 the  your  our  their  my  its
19	1041	1548	0.315	9.137	0.694	306.3891	495.3516	wiki:76%	 the  The The 's  its ’
20	975	1528	0.311	9.448	0.851	291.5825	486.8447	wiki:70%	, ), ; .,
21	1047	1525	0.31	9.758	0.014	268.0826	444.0352	wiki:53%	 Lev  Mil  Cart ber  Arr  Ish
22	128	1497	0.305	10.062	0.154	267.0874	503.8179	web:58%	 that  because  but  think  if  and
23	174	1452	0.295	10.358	0.003	333.8193	545.3501	web:73%	 reduction  crowd  staff  time  groups  team
24	97	1441	0.293	10.651	0.407	336.1636	583.1821	web:43%	 and  or  that  which  as  but
25	799	1434	0.292	10.943	0.009	295.1826	536.3804	wiki:45%	 techniques genre ets  area  reasons  observations
26	6	1433	0.291	11.234	0.602	275.7939	518.0005	math:68%	 the  The The the Our  its
27	1004	1431	0.291	11.525	0.064	293.1577	515.9521	web:71%	 about  of  see  with  for  like
28	386	1423	0.289	11.815	0.006	276.2847	451.3691	web:76%	 process  problems  activities  leash  strengths  possible
29	545	1389	0.283	12.097	0.239	355.4014	596.271	pile:43%	 of  and  to  for  with  on
30	986	1383	0.281	12.378	0.008	362.4951	604.7392	web:59%	atement  building  communication -generated  quality  guilty
31	950	1378	0.28	12.659	0.13	301.3623	604.3257	web:48%	 some  other  of  many  all  more
32	263	1352	0.275	12.934	0.018	295.331	502.4731	wiki:57%	 act  Byz  arg  eclips  bit  consequ
33	1817	1312	0.267	13.201	0.244	302.938	506.2671	math:90%	 of  for  find  with  by  between
34	712	1271	0.259	13.459	0.022	245.5493	392.5879	wiki:70%	 known  bordered  began  used  abundant  related
35	1458	1256	0.255	13.715	0.015	256.4804	445.2075	wiki:88%	ism  city  history  philosophy  world  religion
36	1010	1232	0.251	13.965	0.024	265.3511	444.6938	web:73%	 possible  time  alone  them  for  it
37	933	1224	0.249	14.214	0.021	301.187	550.8716	web:56%	 see  forget  tell  know  asked  ask
38	1618	1216	0.247	14.462	0.029	246.3979	458.7256	wiki:78%	 Africa  Europe  England  Russia  Asia  Islands
39	786	1212	0.247	14.708	0.105	335.9404	555.3872	pile:38%	 of  for  see  with  to  about
40	840	1212	0.247	14.955	0.263	318.8872	585.4678	pile:86%	 of  with  and  for  on  from
41	1528	1166	0.237	15.192	0.296	284.3799	504.2393	web:39%	 the  The The the  our
42	734	1165	0.237	15.429	0.043	309.1924	516.2695	wiki:78%	 largest  western ial  central  major  eastern
43	285	1163	0.237	15.665	0.038	238.1279	358.7793	wiki:54%	.  John  David  Peter  William  Joseph
44	179	1143	0.233	15.898	0.302	335.2388	562.4443	math:47%	 of  to  with  and  for  which
45	1660	1139	0.232	16.13	0.865	303.3408	476.0083	code:99%	 import , def
46	487	1132	0.23	16.36	0.023	239.0835	435.2256	wiki:69%	 found  used  developed  derived  known  conceived
47	1217	1104	0.225	16.584	0.312	271.9287	436.8013	wiki:64%	 is  are  was  be  also  were
48	553	1102	0.224	16.809	0.016	325.8427	553.4111	web:65%	 thankful  proud  important  enough  need  out
49	58	1085	0.221	17.029	1.0	378.4184	622.3803	web:48%	,
50	828	1081	0.22	17.249	0.069	288.2661	510.1523	math:64%	 factor  number  ratio  multiple  divisor  average
51	967	1070	0.218	17.467	0.032	314.7334	603.6402	web:47%	 new  common  early  unique  significant  major
52	1024	1060	0.216	17.682	0.095	318.3096	531.5962	math:86%	 if  that  If  means  think  so
53	1469	1058	0.215	17.898	0.063	320.7754	557.4683	math:51%	 atomic  chemical  electric  physical  nuclear  fluid
54	719	1042	0.212	18.11	0.594	333.6045	571.1953	wiki:45%	 and  or  of  to  feature  both
55	910	1012	0.206	18.315	0.012	251.7275	450.6977	wiki:53%	 elements  properties  atoms  applications  compounds  arousal
56	78	996	0.203	18.518	0.042	241.2944	458.8667	wiki:42%	 use  development  study  history  branch  creation
57	1078	993	0.202	18.72	0.607	269.585	472.4991	math:86%	 the The  The  our  its
58	1733	993	0.202	18.922	0.022	351.0371	586.5654	pile:56%	 mental ic  motor  nervous  cell  chemical
59	110	983	0.2	19.122	0.085	260.2671	442.0381	wiki:68%	 It  which  that  it  city  name
60	1385	982	0.2	19.322	0.955	282.1685	512.4326	wiki:85%	, ",
61	262	980	0.199	19.521	0.009	298.0298	599.627	web:39%	 court  land  axiom  analysis  history  name
62	929	966	0.196	19.718	0.286	287.5703	544.4673	math:68%	 of  and  for  with  on  to
63	1713	964	0.196	19.914	1.0	334.7768	542.9859	web:54%	,
64	1007	953	0.194	20.108	0.205	343.7544	588.145	math:59%	 of  for  and  to  with  on
65	1494	948	0.193	20.3	0.05	326.8008	539.8281	math:80%	 absolute  differential  real  quantum  sampling  field
66	265	945	0.192	20.493	0.102	272.6568	497.8653	web:43%	 used  based  designed ed  distinguished  them
67	1906	944	0.192	20.685	0.043	309.5606	577.8203	math:67%	 highest  greatest  mathematical  simple  straight  different
68	745	930	0.189	20.874	0.539	281.3203	533.3647	math:52%	 the  The The  your Your Our
69	750	924	0.188	21.062	0.62	299.9576	507.7979	pile:41%	 the  The The  their  its  my
